seed,model,threshold,consecutive,min_alarm_s,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s
0,Source5_RF_accuracy,0.8,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,20.5,66.34999999999653
0,Source5_RF_balanced,0.8,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,20.5,66.34999999999653
0,Source5_RF_specificity,0.8,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,20.5,66.34999999999653
1,Source5_RF_accuracy,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,25.749999999998693,53.2
1,Source5_RF_balanced,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,25.749999999998693,53.2
1,Source5_RF_specificity,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,25.749999999998693,53.2
2,Source5_RF_accuracy,0.9,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,38.0,156.24999999999454
2,Source5_RF_balanced,0.9,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,38.0,156.24999999999454
2,Source5_RF_specificity,0.9,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,38.0,156.24999999999454
3,Source5_RF_accuracy,0.65,1,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.5,1,0,0.0,38.1
3,Source5_RF_balanced,0.96,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,19.95,176.33499999999805
3,Source5_RF_specificity,0.96,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,19.95,176.33499999999805
4,Source5_RF_accuracy,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,118.13000000002124
4,Source5_RF_balanced,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,118.13000000002124
4,Source5_RF_specificity,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,118.13000000002124
5,Source5_RF_accuracy,0.8,2,0.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.0,1,0,43.0,293.7800000000156
5,Source5_RF_balanced,0.9,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,37.95,172.79499999999763
5,Source5_RF_specificity,0.9,1,0.0,0.9310344827586207,1.0,0.9166666666666666,0.9565217391304348,1.0,0.0,0,2,37.95,172.79499999999763
6,Source5_RF_accuracy,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,86.38999999999467
6,Source5_RF_balanced,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,86.38999999999467
6,Source5_RF_specificity,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,86.38999999999467
7,Source5_RF_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.20000000000000284,38.185
7,Source5_RF_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.20000000000000284,38.185
7,Source5_RF_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.20000000000000284,38.185
8,Source5_RF_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,38.2
8,Source5_RF_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,38.2
8,Source5_RF_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,38.2
9,Source5_RF_accuracy,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,45.20999999999999
9,Source5_RF_balanced,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,45.20999999999999
9,Source5_RF_specificity,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,45.20999999999999
10,Source5_RF_accuracy,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,3.749999999999858,167.7249999999899
10,Source5_RF_balanced,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,3.749999999999858,167.7249999999899
10,Source5_RF_specificity,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,3.749999999999858,167.7249999999899
11,Source5_RF_accuracy,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,21.45,116.7299999999934
11,Source5_RF_balanced,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,21.45,116.7299999999934
11,Source5_RF_specificity,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,21.45,116.7299999999934
12,Source5_RF_accuracy,0.65,1,60.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.5,1,0,3.0,53.1
12,Source5_RF_balanced,0.65,1,60.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.5,1,0,3.0,53.1
12,Source5_RF_specificity,0.65,1,60.0,0.9655172413793104,0.96,1.0,0.9795918367346939,0.8,0.5,1,0,3.0,53.1
13,Source5_RF_accuracy,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.95,150.4099999999916
13,Source5_RF_balanced,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.95,150.4099999999916
13,Source5_RF_specificity,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,37.95,150.4099999999916
14,Source5_RF_accuracy,0.96,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,19.95,175.30499999999898
14,Source5_RF_balanced,0.96,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,19.95,175.30499999999898
14,Source5_RF_specificity,0.96,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,19.95,175.30499999999898
15,Source5_RF_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,38.17
15,Source5_RF_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,38.17
15,Source5_RF_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0.0,38.17
16,Source5_RF_accuracy,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,156.8349999999955
16,Source5_RF_balanced,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,156.8349999999955
16,Source5_RF_specificity,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,156.8349999999955
17,Source5_RF_accuracy,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,28.099999999999998,64.50499999999698
17,Source5_RF_balanced,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,28.099999999999998,64.50499999999698
17,Source5_RF_specificity,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,28.099999999999998,64.50499999999698
18,Source5_RF_accuracy,0.9390577956071359,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22.049999999999848,169.80999999999983
18,Source5_RF_balanced,0.9390577956071359,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22.049999999999848,169.80999999999983
18,Source5_RF_specificity,0.9390577956071359,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22.049999999999848,169.80999999999983
19,Source5_RF_accuracy,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,165.19499999999192
19,Source5_RF_balanced,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,165.19499999999192
19,Source5_RF_specificity,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,165.19499999999192
20,Source5_RF_accuracy,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,131.61500000002368
20,Source5_RF_balanced,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,131.61500000002368
20,Source5_RF_specificity,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,131.61500000002368
21,Source5_RF_accuracy,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,204.70500000000186
21,Source5_RF_balanced,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,204.70500000000186
21,Source5_RF_specificity,0.9,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,204.70500000000186
22,Source5_RF_accuracy,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,19.0,38.2
22,Source5_RF_balanced,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,19.0,38.2
22,Source5_RF_specificity,0.65,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,19.0,38.2
23,Source5_RF_accuracy,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.0,124.82999999999305
23,Source5_RF_balanced,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.0,124.82999999999305
23,Source5_RF_specificity,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.0,124.82999999999305
24,Source5_RF_accuracy,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.5,107.00499999999434
24,Source5_RF_balanced,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.5,107.00499999999434
24,Source5_RF_specificity,0.8,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,7.5,107.00499999999434
25,Source5_RF_accuracy,0.96,2,0.0,0.9310344827586207,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8,0.5,1,1,42.9,198.03999999999462
25,Source5_RF_balanced,0.96,2,0.0,0.9310344827586207,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8,0.5,1,1,42.9,198.03999999999462
25,Source5_RF_specificity,0.96,2,0.0,0.9310344827586207,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8,0.5,1,1,42.9,198.03999999999462
26,Source5_RF_accuracy,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,162.33500000002851
26,Source5_RF_balanced,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,162.33500000002851
26,Source5_RF_specificity,0.9,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,43.0,162.33500000002851
27,Source5_RF_accuracy,0.96,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,251.52000000000442
27,Source5_RF_balanced,0.96,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,251.52000000000442
27,Source5_RF_specificity,0.96,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,38.0,251.52000000000442
28,Source5_RF_accuracy,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,27.95,53.1
28,Source5_RF_balanced,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,27.95,53.1
28,Source5_RF_specificity,0.65,1,60.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,27.95,53.1
29,Source5_RF_accuracy,0.9,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,38.0,226.0700000000131
29,Source5_RF_balanced,0.9,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,38.0,226.0700000000131
29,Source5_RF_specificity,0.9,1,0.0,0.9655172413793104,1.0,0.9583333333333334,0.9787234042553191,1.0,0.0,0,1,38.0,226.0700000000131
