accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.20,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.20,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,max_alpha0.20,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.15,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.15,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,max_alpha0.15,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.10,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.10,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,max_alpha0.10,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.05,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.05,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,max_alpha0.05,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,conformal_alpha0.20,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,q90_alpha0.20,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,max_alpha0.20,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,conformal_alpha0.15,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,q90_alpha0.15,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,max_alpha0.15,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,conformal_alpha0.10,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,q90_alpha0.10,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,max_alpha0.10,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,conformal_alpha0.05,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,q90_alpha0.05,0.0
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.3333333333333333,1,0,40.0,50.08999999999979,20,max_alpha0.05,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.20,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.15,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.15,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.15,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.10,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.10,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.10,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,conformal_alpha0.05,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,q90_alpha0.05,0.0
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.9545454545454546,0.3333333333333333,1,1,40.0,65.0,33,max_alpha0.05,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,conformal_alpha0.20,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,q90_alpha0.20,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,max_alpha0.20,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,conformal_alpha0.15,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,q90_alpha0.15,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,max_alpha0.15,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,conformal_alpha0.10,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,q90_alpha0.10,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,max_alpha0.10,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,conformal_alpha0.05,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,q90_alpha0.05,0.0
0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0.0,0,1,40.0,140.58999999999997,55,max_alpha0.05,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,conformal_alpha0.20,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,q90_alpha0.20,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,max_alpha0.20,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,conformal_alpha0.15,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,q90_alpha0.15,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,max_alpha0.15,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,conformal_alpha0.10,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,q90_alpha0.10,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,max_alpha0.10,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,conformal_alpha0.05,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,q90_alpha0.05,0.0
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69,max_alpha0.05,0.0
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,conformal_alpha0.20,0.32353765809382823
0.64,0.9166666666666666,0.5789473684210527,0.8333333333333334,0.7096774193548387,0.0,1,8,65.0,90.05,72,q90_alpha0.20,0.1546468307367266
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,max_alpha0.20,0.32353765809382823
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,conformal_alpha0.15,0.32353765809382823
0.64,0.9166666666666666,0.5789473684210527,0.8333333333333334,0.7096774193548387,0.0,1,8,65.0,90.05,72,q90_alpha0.15,0.1546468307367266
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,max_alpha0.15,0.32353765809382823
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,conformal_alpha0.10,0.32353765809382823
0.64,0.9166666666666666,0.5789473684210527,0.8333333333333334,0.7096774193548387,0.0,1,8,65.0,90.05,72,q90_alpha0.10,0.1546468307367266
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,max_alpha0.10,0.32353765809382823
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,conformal_alpha0.05,0.32353765809382823
0.64,0.9166666666666666,0.5789473684210527,0.8333333333333334,0.7096774193548387,0.0,1,8,65.0,90.05,72,q90_alpha0.05,0.1546468307367266
0.56,1.0,0.42105263157894735,1.0,0.5925925925925926,0.0,0,11,65.05,122.56499999999997,72,max_alpha0.05,0.32353765809382823
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,conformal_alpha0.20,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,q90_alpha0.20,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,max_alpha0.20,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,conformal_alpha0.15,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,q90_alpha0.15,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,max_alpha0.15,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,conformal_alpha0.10,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,q90_alpha0.10,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,max_alpha0.10,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,conformal_alpha0.05,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,q90_alpha0.05,0.0
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,41.34500000000002,73,max_alpha0.05,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,conformal_alpha0.20,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,q90_alpha0.20,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,max_alpha0.20,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,conformal_alpha0.15,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,q90_alpha0.15,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,max_alpha0.15,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,conformal_alpha0.10,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,q90_alpha0.10,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,max_alpha0.10,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,conformal_alpha0.05,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,q90_alpha0.05,0.0
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.8,0.9545454545454546,0.5,1,1,40.0,40.0,88,max_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,conformal_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,q90_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,max_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,conformal_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,q90_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,max_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,conformal_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,q90_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,max_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,conformal_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,q90_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91,max_alpha0.05,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.20,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.20,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.20,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.15,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.15,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.15,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.10,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.10,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.10,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.05,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.05,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.05,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.20,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.20,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.20,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.15,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.15,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.15,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.10,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.10,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.10,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.05,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.05,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.05,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.20,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.20,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.20,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.15,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.15,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.15,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.10,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.10,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.10,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.05,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.05,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.05,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.20,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.20,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,max_alpha0.20,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.15,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.15,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,max_alpha0.15,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.10,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.10,0.0
