model,seed,threshold,accuracy,specificity,recall,precision,f1,fp,fn
pfx600_et_sw0.0,0,0.5999999999999999,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_et_sw0.0,4,0.3,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_et_sw0.0,7,0.20692766804804538,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.0,20,0.43999999999999995,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.0,33,0.22614070656894827,0.8571428571428571,0.5,0.9545454545454546,0.875,0.9130434782608695,3,1
pfx600_et_sw0.0,55,0.73,0.8461538461538461,0.8333333333333334,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.0,69,0.24113923081302094,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_et_sw0.0,72,0.48,0.96,1.0,0.9473684210526315,1.0,0.972972972972973,0,1
pfx600_et_sw0.0,73,0.3,0.9230769230769231,0.6666666666666666,1.0,0.9090909090909091,0.9523809523809523,2,0
pfx600_et_sw0.0,88,0.28768191971680357,0.8888888888888888,0.4,1.0,0.88,0.9361702127659575,3,0
pfx600_et_sw0.0,91,0.69,0.875,0.8,0.8947368421052632,0.9444444444444444,0.918918918918919,1,2
pfx600_et_sw0.0,97,0.3,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.0,102,0.5599999999999999,0.8148148148148148,0.6,0.8636363636363636,0.9047619047619048,0.8837209302325582,2,3
pfx600_et_sw0.0,110,0.49999999999999994,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_et_sw0.0,113,0.47,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_et_sw0.0,114,0.49,0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465116,0,1
pfx600_et_sw0.0,119,0.6042959712271598,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_et_sw0.0,130,0.5399999999999999,0.92,0.8,0.95,0.95,0.95,1,1
pfx600_et_sw0.0,131,0.3,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_et_sw0.0,145,0.43999999999999995,0.96,0.8,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_et_sw0.0,160,0.8576518150704688,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_et_sw0.0,170,0.38999999999999996,0.8571428571428571,0.5,0.9545454545454546,0.875,0.9130434782608695,3,1
pfx600_et_sw0.0,188,0.3,0.9583333333333334,0.8333333333333334,1.0,0.9473684210526315,0.972972972972973,1,0
pfx600_et_sw0.0,208,0.31,0.8888888888888888,0.5,1.0,0.875,0.9333333333333333,3,0
pfx600_et_sw0.0,240,0.7799999999999999,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_et_sw0.0,244,0.42999999999999994,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.0,261,0.6299999999999999,0.88,0.8,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_et_sw0.0,269,0.45999999999999996,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_et_sw0.0,275,0.5968957638944672,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_et_sw0.0,289,0.25564017791187327,0.9642857142857143,0.8333333333333334,1.0,0.9565217391304348,0.9777777777777777,1,0
pfx600_et_sw0.35,0,0.6799999999999999,0.8076923076923077,0.8333333333333334,0.8,0.9411764705882353,0.8648648648648649,1,4
pfx600_et_sw0.35,4,0.42,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_et_sw0.35,7,0.3,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.35,20,0.57,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.35,33,0.3,0.8571428571428571,0.5,0.9545454545454546,0.875,0.9130434782608695,3,1
pfx600_et_sw0.35,55,0.36,0.9230769230769231,0.6666666666666666,1.0,0.9090909090909091,0.9523809523809523,2,0
pfx600_et_sw0.35,69,0.6246593814615026,0.8888888888888888,1.0,0.8571428571428571,1.0,0.9230769230769231,0,3
pfx600_et_sw0.35,72,0.45999999999999996,0.92,0.8333333333333334,0.9473684210526315,0.9473684210526315,0.9473684210526315,1,1
pfx600_et_sw0.35,73,0.75,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_et_sw0.35,88,0.49,0.8888888888888888,0.6,0.9545454545454546,0.9130434782608695,0.9333333333333333,2,1
pfx600_et_sw0.35,91,0.58,0.875,0.6,0.9473684210526315,0.9,0.9230769230769231,2,1
pfx600_et_sw0.35,97,0.42,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.35,102,0.6199999999999999,0.8518518518518519,0.8,0.8636363636363636,0.95,0.9047619047619048,1,3
pfx600_et_sw0.35,110,0.6499999999999999,0.8461538461538461,0.8333333333333334,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.35,113,0.52,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.35,114,0.58,0.9285714285714286,1.0,0.9090909090909091,1.0,0.9523809523809523,0,2
pfx600_et_sw0.35,119,0.6499999999999999,0.84,0.8333333333333334,0.8421052631578947,0.9411764705882353,0.8888888888888888,1,3
pfx600_et_sw0.35,130,0.6399999999999999,0.92,0.8,0.95,0.95,0.95,1,1
pfx600_et_sw0.35,131,0.37,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_et_sw0.35,145,0.59,0.84,0.8,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.35,160,0.7999999999999999,0.72,1.0,0.631578947368421,1.0,0.7741935483870968,0,7
pfx600_et_sw0.35,170,0.73,0.8214285714285714,1.0,0.7727272727272727,1.0,0.8717948717948718,0,5
pfx600_et_sw0.35,188,0.38999999999999996,0.875,0.5,1.0,0.8571428571428571,0.9230769230769231,3,0
pfx600_et_sw0.35,208,0.6199999999999999,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.35,240,0.6399999999999999,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_et_sw0.35,244,0.41,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_et_sw0.35,261,0.37,0.96,0.8,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_et_sw0.35,269,0.6299999999999999,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_et_sw0.35,275,0.51,0.9230769230769231,0.6666666666666666,1.0,0.9090909090909091,0.9523809523809523,2,0
pfx600_et_sw0.35,289,0.31,0.9642857142857143,0.8333333333333334,1.0,0.9565217391304348,0.9777777777777777,1,0
pfx600_et_sw0.65,0,0.57,0.8461538461538461,0.8333333333333334,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.65,4,0.41,0.9230769230769231,0.6,1.0,0.9130434782608695,0.9545454545454546,2,0
pfx600_et_sw0.65,7,0.3,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.65,20,0.5081382620592929,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.65,33,0.3,0.8571428571428571,0.5,0.9545454545454546,0.875,0.9130434782608695,3,1
pfx600_et_sw0.65,55,0.7980088822557116,0.7307692307692307,0.8333333333333334,0.7,0.9333333333333333,0.8,1,6
pfx600_et_sw0.65,69,0.3,0.8888888888888888,0.6666666666666666,0.9523809523809523,0.9090909090909091,0.9302325581395349,2,1
pfx600_et_sw0.65,72,0.45999999999999996,0.96,1.0,0.9473684210526315,1.0,0.972972972972973,0,1
pfx600_et_sw0.65,73,0.6375451405047676,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.65,88,0.42,0.8518518518518519,0.4,0.9545454545454546,0.875,0.9130434782608695,3,1
pfx600_et_sw0.65,91,0.5499999999999999,0.875,0.6,0.9473684210526315,0.9,0.9230769230769231,2,1
pfx600_et_sw0.65,97,0.6256100098245468,0.7407407407407407,0.8333333333333334,0.7142857142857143,0.9375,0.8108108108108109,1,6
pfx600_et_sw0.65,102,0.5979100746243583,0.8148148148148148,0.6,0.8636363636363636,0.9047619047619048,0.8837209302325582,2,3
pfx600_et_sw0.65,110,0.5251630576160914,0.8461538461538461,0.8333333333333334,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.65,113,0.49,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.65,114,0.58,0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465116,0,1
pfx600_et_sw0.65,119,0.52,0.88,0.6666666666666666,0.9473684210526315,0.9,0.9230769230769231,2,1
pfx600_et_sw0.65,130,0.6799999999999999,0.84,0.8,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.65,131,0.36,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_et_sw0.65,145,0.47,0.96,0.8,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_et_sw0.65,160,0.8599999999999999,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_et_sw0.65,170,0.69,0.8214285714285714,1.0,0.7727272727272727,1.0,0.8717948717948718,0,5
pfx600_et_sw0.65,188,0.32,0.875,0.5,1.0,0.8571428571428571,0.9230769230769231,3,0
pfx600_et_sw0.65,208,0.51,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.65,240,0.69,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_et_sw0.65,244,0.36,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_et_sw0.65,261,0.6499999999999999,0.88,0.8,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_et_sw0.65,269,0.57,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_et_sw0.65,275,0.49999999999999994,0.8461538461538461,0.6666666666666666,0.9,0.9,0.9,2,2
pfx600_et_sw0.65,289,0.3,0.9285714285714286,0.6666666666666666,1.0,0.9166666666666666,0.9565217391304348,2,0
pfx600_rf_sw0.0,0,0.49,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.0,4,0.52,0.9230769230769231,0.6,1.0,0.9130434782608695,0.9545454545454546,2,0
pfx600_rf_sw0.0,7,0.33999999999999997,0.8518518518518519,0.6666666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,2,2
pfx600_rf_sw0.0,20,0.3,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_rf_sw0.0,33,0.39999999999999997,0.8928571428571429,0.6666666666666666,0.9545454545454546,0.9130434782608695,0.9333333333333333,2,1
pfx600_rf_sw0.0,55,0.57,0.8846153846153846,0.6666666666666666,0.95,0.9047619047619048,0.926829268292683,2,1
pfx600_rf_sw0.0,69,0.27341585871034024,0.8888888888888888,0.6666666666666666,0.9523809523809523,0.9090909090909091,0.9302325581395349,2,1
pfx600_rf_sw0.0,72,0.57,0.8,1.0,0.7368421052631579,1.0,0.8484848484848485,0,5
pfx600_rf_sw0.0,73,0.7463387067107877,0.7307692307692307,0.8333333333333334,0.7,0.9333333333333333,0.8,1,6
pfx600_rf_sw0.0,88,0.69,0.7407407407407407,0.6,0.7727272727272727,0.8947368421052632,0.8292682926829268,2,5
pfx600_rf_sw0.0,91,0.38999999999999996,0.8333333333333334,0.6,0.8947368421052632,0.8947368421052632,0.8947368421052632,2,2
pfx600_rf_sw0.0,97,0.32999999999999996,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_rf_sw0.0,102,0.44999999999999996,0.8888888888888888,0.6,0.9545454545454546,0.9130434782608695,0.9333333333333333,2,1
pfx600_rf_sw0.0,110,0.49999999999999994,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.0,113,0.41,0.8846153846153846,0.5,1.0,0.8695652173913043,0.9302325581395349,3,0
pfx600_rf_sw0.0,114,0.42,0.9285714285714286,1.0,0.9090909090909091,1.0,0.9523809523809523,0,2
pfx600_rf_sw0.0,119,0.735489256910486,0.68,0.8333333333333334,0.631578947368421,0.9230769230769231,0.75,1,7
pfx600_rf_sw0.0,130,0.5299999999999999,0.88,0.8,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_rf_sw0.0,131,0.45999999999999996,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.0,145,0.52,0.72,0.8,0.7,0.9333333333333333,0.8,1,6
pfx600_rf_sw0.0,160,0.7699999999999999,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_rf_sw0.0,170,0.43999999999999995,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.9523809523809523,0.9302325581395349,1,2
pfx600_rf_sw0.0,188,0.32,0.9166666666666666,0.6666666666666666,1.0,0.9,0.9473684210526315,2,0
pfx600_rf_sw0.0,208,0.31,0.8888888888888888,0.5,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.0,240,0.708972709402883,0.8461538461538461,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.0,244,0.1892259355464745,0.88,0.5,1.0,0.8636363636363636,0.926829268292683,3,0
pfx600_rf_sw0.0,261,0.3,0.88,0.6,0.95,0.9047619047619048,0.926829268292683,2,1
pfx600_rf_sw0.0,269,0.5999999999999999,0.8461538461538461,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.0,275,0.45999999999999996,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.0,289,0.245140296908024,0.9285714285714286,0.6666666666666666,1.0,0.9166666666666666,0.9565217391304348,2,0
pfx600_rf_sw0.35,0,0.44999999999999996,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.35,4,0.43999999999999995,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.35,7,0.3,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_rf_sw0.35,20,0.3315803703482265,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_rf_sw0.35,33,0.2637795559623066,0.8928571428571429,0.5,1.0,0.88,0.9361702127659575,3,0
pfx600_rf_sw0.35,55,0.73,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.35,69,0.35,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_rf_sw0.35,72,0.6199999999999999,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_rf_sw0.35,73,0.49999999999999994,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.35,88,0.5999999999999999,0.8888888888888888,0.6,0.9545454545454546,0.9130434782608695,0.9333333333333333,2,1
pfx600_rf_sw0.35,91,0.3,0.9166666666666666,0.6,1.0,0.9047619047619048,0.95,2,0
pfx600_rf_sw0.35,97,0.47,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_rf_sw0.35,102,0.52,0.8518518518518519,0.6,0.9090909090909091,0.9090909090909091,0.9090909090909091,2,2
pfx600_rf_sw0.35,110,0.5599999999999999,0.8461538461538461,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.35,113,0.6058751805657507,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,114,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,119,0.74,0.72,0.8333333333333334,0.6842105263157895,0.9285714285714286,0.7878787878787878,1,6
pfx600_rf_sw0.35,130,0.6099999999999999,0.96,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.35,131,0.32999999999999996,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,145,0.6163873182439934,0.72,1.0,0.65,1.0,0.7878787878787878,0,7
pfx600_rf_sw0.35,160,0.7799999999999999,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_rf_sw0.35,170,0.6399999999999999,0.7857142857142857,1.0,0.7272727272727273,1.0,0.8421052631578947,0,6
pfx600_rf_sw0.35,188,0.3,0.875,0.5,1.0,0.8571428571428571,0.9230769230769231,3,0
pfx600_rf_sw0.35,208,0.32,0.8888888888888888,0.5,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.35,240,0.5599999999999999,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,244,0.31,0.92,0.6666666666666666,1.0,0.9047619047619048,0.95,2,0
pfx600_rf_sw0.35,261,0.57,0.84,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.35,269,0.6099999999999999,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.35,275,0.74,0.8846153846153846,1.0,0.85,1.0,0.918918918918919,0,3
pfx600_rf_sw0.35,289,0.3876226392181575,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,0,0.51,0.8846153846153846,0.8333333333333334,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_rf_sw0.65,4,0.47,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.65,7,0.3,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_rf_sw0.65,20,0.35,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_rf_sw0.65,33,0.3,0.8214285714285714,0.3333333333333333,0.9545454545454546,0.84,0.8936170212765957,4,1
pfx600_rf_sw0.65,55,0.6699999999999999,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.65,69,0.36,0.8888888888888888,0.6666666666666666,0.9523809523809523,0.9090909090909091,0.9302325581395349,2,1
pfx600_rf_sw0.65,72,0.6099999999999999,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_rf_sw0.65,73,0.57,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.65,88,0.69,0.7777777777777778,0.6,0.8181818181818182,0.9,0.8571428571428571,2,4
pfx600_rf_sw0.65,91,0.6799999999999999,0.875,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_rf_sw0.65,97,0.6099999999999999,0.8888888888888888,1.0,0.8571428571428571,1.0,0.9230769230769231,0,3
pfx600_rf_sw0.65,102,0.59,0.8518518518518519,0.6,0.9090909090909091,0.9090909090909091,0.9090909090909091,2,2
pfx600_rf_sw0.65,110,0.5299999999999999,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.65,113,0.5499999999999999,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.65,114,0.42,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,119,0.7,0.76,1.0,0.6842105263157895,1.0,0.8125,0,6
pfx600_rf_sw0.65,130,0.6099999999999999,0.92,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.65,131,0.3,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.65,145,0.42999999999999994,0.92,0.8,0.95,0.95,0.95,1,1
pfx600_rf_sw0.65,160,0.8299999999999998,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_rf_sw0.65,170,0.7,0.7857142857142857,1.0,0.7272727272727273,1.0,0.8421052631578947,0,6
pfx600_rf_sw0.65,188,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,208,0.42999999999999994,0.9259259259259259,0.6666666666666666,1.0,0.9130434782608695,0.9545454545454546,2,0
pfx600_rf_sw0.65,240,0.49,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,244,0.5599999999999999,0.92,1.0,0.8947368421052632,1.0,0.9444444444444444,0,2
pfx600_rf_sw0.65,261,0.48,0.96,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.65,269,0.41,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.65,275,0.6399999999999999,0.8846153846153846,0.8333333333333334,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_rf_sw0.65,289,0.3,0.9642857142857143,0.8333333333333334,1.0,0.9565217391304348,0.9777777777777777,1,0
