tn,fp,fn,tp,accuracy,specificity,recall,score,threshold,vetoed
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.0,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.005,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.0099349055568041,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.01,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.015,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.02,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.025,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.026121065462943415,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.03,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.035,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.04,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.045,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.05,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.055,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.05858659307427262,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.06,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.065,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.06965390590714646,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.07,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.075,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.08,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.085,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.0889197755561607,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.09,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.095,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.09813998775784662,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.1,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.105,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.11,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.11187810471293395,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.115,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.12,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.125,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.13,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.13392296075685162,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.135,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.14,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.145,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.15,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.155,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.16,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.165,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.17,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.17500000000000002,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.18,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.185,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.18771175391953598,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.19,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.195,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.2,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.20500000000000002,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.21,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.215,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.22,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.225,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.23,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.23500000000000001,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.24,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.245,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.25,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.255,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.26,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.265,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.27,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.275,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.28,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.28500000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.29,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.2927668056740054,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.295,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.305,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.31,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.315,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.32,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.325,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3264841690543179,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.33,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.335,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.34,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.34500000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.35000000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3527284992596797,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.355,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.36,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.365,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.37,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3710808443338383,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.375,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.38,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.38426922765652227,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.385,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.39,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.395,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.4,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.405,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.40986318765909696,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.41000000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.41500000000000004,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.42,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.425,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.43,0
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.4327889743687451,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.435,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.44,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.445,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.45,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.455,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.4589949457436943,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.46,1
150,23,22,587,0.9424552429667519,0.8670520231213873,0.9638752052545156,et_fault_prob,0.465,2
150,23,23,586,0.9411764705882353,0.8670520231213873,0.9622331691297209,et_fault_prob,0.4671603187123055,3
151,22,24,585,0.9411764705882353,0.8728323699421965,0.9605911330049262,et_fault_prob,0.46979383400711383,5
151,22,24,585,0.9411764705882353,0.8728323699421965,0.9605911330049262,et_fault_prob,0.47000000000000003,5
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.47500000000000003,6
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.48,6
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.485,6
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.49,6
151,22,26,583,0.9386189258312021,0.8728323699421965,0.9573070607553367,et_fault_prob,0.495,7
151,22,27,582,0.9373401534526854,0.8728323699421965,0.9556650246305419,et_fault_prob,0.5,8
151,22,28,581,0.9360613810741688,0.8728323699421965,0.9540229885057471,et_fault_prob,0.505,9
151,22,28,581,0.9360613810741688,0.8728323699421965,0.9540229885057471,et_fault_prob,0.5064699653166966,9
151,22,28,581,0.9360613810741688,0.8728323699421965,0.9540229885057471,et_fault_prob,0.51,9
152,21,28,581,0.9373401534526854,0.8786127167630058,0.9540229885057471,et_fault_prob,0.515,10
152,21,30,579,0.9347826086956522,0.8786127167630058,0.9507389162561576,et_fault_prob,0.52,12
152,21,30,579,0.9347826086956522,0.8786127167630058,0.9507389162561576,et_fault_prob,0.525,12
152,21,31,578,0.9335038363171355,0.8786127167630058,0.9490968801313628,et_fault_prob,0.5274872358660541,13
152,21,32,577,0.9322250639386189,0.8786127167630058,0.9474548440065681,et_fault_prob,0.53,14
152,21,32,577,0.9322250639386189,0.8786127167630058,0.9474548440065681,et_fault_prob,0.535,14
152,21,34,575,0.9296675191815856,0.8786127167630058,0.9441707717569786,et_fault_prob,0.54,16
152,21,34,575,0.9296675191815856,0.8786127167630058,0.9441707717569786,et_fault_prob,0.545,16
153,20,34,575,0.9309462915601023,0.884393063583815,0.9441707717569786,et_fault_prob,0.55,17
153,20,35,574,0.9296675191815856,0.884393063583815,0.9425287356321839,et_fault_prob,0.5517328783590525,18
153,20,36,573,0.928388746803069,0.884393063583815,0.9408866995073891,et_fault_prob,0.555,19
153,20,38,571,0.9258312020460358,0.884393063583815,0.9376026272577996,et_fault_prob,0.56,21
155,18,40,569,0.9258312020460358,0.8959537572254336,0.9343185550082101,et_fault_prob,0.5632065374180515,25
155,18,42,567,0.9232736572890026,0.8959537572254336,0.9310344827586207,et_fault_prob,0.5650000000000001,27
155,18,44,565,0.9207161125319693,0.8959537572254336,0.9277504105090312,et_fault_prob,0.5700000000000001,29
156,17,44,565,0.921994884910486,0.9017341040462428,0.9277504105090312,et_fault_prob,0.5718856212183808,30
157,16,45,564,0.921994884910486,0.9075144508670521,0.9261083743842364,et_fault_prob,0.5750000000000001,32
157,16,49,560,0.9168797953964194,0.9075144508670521,0.9195402298850575,et_fault_prob,0.58,36
158,15,49,560,0.9181585677749361,0.9132947976878613,0.9195402298850575,et_fault_prob,0.5814455331545395,37
158,15,50,559,0.9168797953964194,0.9132947976878613,0.9178981937602627,et_fault_prob,0.585,38
159,14,53,556,0.9143222506393862,0.9190751445086706,0.9129720853858785,et_fault_prob,0.5890841357156634,42
159,14,54,555,0.9130434782608695,0.9190751445086706,0.9113300492610837,et_fault_prob,0.59,43
160,13,58,551,0.9092071611253197,0.9248554913294798,0.9047619047619048,et_fault_prob,0.595,48
160,13,59,550,0.907928388746803,0.9248554913294798,0.90311986863711,et_fault_prob,0.5962579255581457,49
161,12,60,549,0.907928388746803,0.930635838150289,0.9014778325123153,et_fault_prob,0.6,51
162,11,62,547,0.9066496163682864,0.9364161849710982,0.8981937602627258,et_fault_prob,0.6027435174685455,54
162,11,63,546,0.9053708439897699,0.9364161849710982,0.896551724137931,et_fault_prob,0.605,55
162,11,64,545,0.9040920716112532,0.9364161849710982,0.8949096880131363,et_fault_prob,0.61,56
162,11,68,541,0.8989769820971867,0.9364161849710982,0.8883415435139573,et_fault_prob,0.615,60
162,11,68,541,0.8989769820971867,0.9364161849710982,0.8883415435139573,et_fault_prob,0.6152261022358763,60
163,10,73,536,0.8938618925831202,0.9421965317919075,0.8801313628899836,et_fault_prob,0.62,66
163,10,73,536,0.8938618925831202,0.9421965317919075,0.8801313628899836,et_fault_prob,0.6216173503815569,66
164,9,76,533,0.8913043478260869,0.9479768786127167,0.8752052545155994,et_fault_prob,0.625,70
164,9,79,530,0.887468030690537,0.9479768786127167,0.8702791461412152,et_fault_prob,0.6271782599203004,73
164,9,81,528,0.8849104859335039,0.9479768786127167,0.8669950738916257,et_fault_prob,0.63,75
165,8,85,524,0.881074168797954,0.953757225433526,0.8604269293924466,et_fault_prob,0.635,80
165,8,86,523,0.8797953964194374,0.953757225433526,0.8587848932676518,et_fault_prob,0.6351917780252113,81
165,8,88,521,0.8772378516624041,0.953757225433526,0.8555008210180624,et_fault_prob,0.64,83
165,8,92,517,0.8721227621483376,0.953757225433526,0.8489326765188834,et_fault_prob,0.645,87
165,8,92,517,0.8721227621483376,0.953757225433526,0.8489326765188834,et_fault_prob,0.6450087620482627,87
165,8,96,513,0.8670076726342711,0.953757225433526,0.8423645320197044,et_fault_prob,0.65,91
165,8,100,509,0.8618925831202046,0.953757225433526,0.8357963875205254,et_fault_prob,0.6540188584340226,95
165,8,102,507,0.8593350383631714,0.953757225433526,0.8325123152709359,et_fault_prob,0.655,97
167,6,105,504,0.8580562659846548,0.9653179190751445,0.8275862068965517,et_fault_prob,0.659759723848001,102
167,6,106,503,0.8567774936061381,0.9653179190751445,0.825944170771757,et_fault_prob,0.66,103
168,5,112,497,0.850383631713555,0.9710982658959537,0.8160919540229885,et_fault_prob,0.6621666591549005,110
168,5,117,492,0.8439897698209718,0.9710982658959537,0.8078817733990148,et_fault_prob,0.665,115
168,5,120,489,0.840153452685422,0.9710982658959537,0.8029556650246306,et_fault_prob,0.6661658738102819,118
168,5,123,486,0.8363171355498721,0.9710982658959537,0.7980295566502463,et_fault_prob,0.67,121
168,5,127,482,0.8312020460358056,0.9710982658959537,0.7914614121510674,et_fault_prob,0.6742586586475733,125
168,5,130,479,0.8273657289002557,0.9710982658959537,0.7865353037766831,et_fault_prob,0.675,128
168,5,135,474,0.8209718670076727,0.9710982658959537,0.7783251231527094,et_fault_prob,0.6784708584776494,133
168,5,137,472,0.8184143222506394,0.9710982658959537,0.7750410509031199,et_fault_prob,0.68,135
168,5,143,466,0.8107416879795396,0.9710982658959537,0.7651888341543513,et_fault_prob,0.6847336896734683,141
168,5,144,465,0.809462915601023,0.9710982658959537,0.7635467980295566,et_fault_prob,0.685,142
168,5,150,459,0.8017902813299232,0.9710982658959537,0.7536945812807881,et_fault_prob,0.6900000000000001,148
168,5,151,458,0.8005115089514067,0.9710982658959537,0.7520525451559934,et_fault_prob,0.6913085688580604,149
168,5,158,451,0.7915601023017903,0.9710982658959537,0.7405582922824302,et_fault_prob,0.6950000000000001,156
168,5,159,450,0.7902813299232737,0.9710982658959537,0.7389162561576355,et_fault_prob,0.6955964971205978,157
168,5,165,444,0.782608695652174,0.9710982658959537,0.729064039408867,et_fault_prob,0.7000000000000001,163
168,5,166,443,0.7813299232736572,0.9710982658959537,0.7274220032840722,et_fault_prob,0.7003024493202641,164
168,5,173,436,0.7723785166240409,0.9710982658959537,0.715927750410509,et_fault_prob,0.7036377844577463,171
168,5,176,433,0.768542199488491,0.9710982658959537,0.7110016420361248,et_fault_prob,0.705,174
168,5,181,428,0.7621483375959079,0.9710982658959537,0.7027914614121511,et_fault_prob,0.7069629092491394,179
168,5,188,421,0.7531969309462916,0.9710982658959537,0.6912972085385879,et_fault_prob,0.71,186
168,5,189,420,0.7519181585677749,0.9710982658959537,0.6896551724137931,et_fault_prob,0.7108814214756546,187
168,5,196,413,0.7429667519181585,0.9710982658959537,0.6781609195402298,et_fault_prob,0.715,194
168,5,197,412,0.7416879795396419,0.9710982658959537,0.6765188834154351,et_fault_prob,0.7151387968288292,195
168,5,203,406,0.7340153452685422,0.9710982658959537,0.6666666666666666,et_fault_prob,0.72,201
168,5,205,404,0.731457800511509,0.9710982658959537,0.6633825944170771,et_fault_prob,0.7202275015225276,203
168,5,210,399,0.7250639386189258,0.9710982658959537,0.6551724137931034,et_fault_prob,0.725,208
168,5,211,398,0.7237851662404092,0.9710982658959537,0.6535303776683087,et_fault_prob,0.7277047055429395,209
168,5,215,394,0.7186700767263428,0.9710982658959537,0.6469622331691297,et_fault_prob,0.73,213
168,5,219,390,0.7135549872122762,0.9710982658959537,0.6403940886699507,et_fault_prob,0.734239760791043,217
