model,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,specificity_mean,specificity_std,specificity_min,specificity_max,hard_negative_fpr_mean,hard_negative_fpr_std,hard_negative_fpr_min,hard_negative_fpr_max,fp_mean,fp_std,fp_min,fp_max,fn_mean,fn_std,fn_min,fn_max,median_delay_s_mean,median_delay_s_std,median_delay_s_min,median_delay_s_max,p95_delay_s_mean,p95_delay_s_std,p95_delay_s_min,p95_delay_s_max,objective,label,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_min,false_alarm_rate_max,miss_rate_mean,miss_rate_std,miss_rate_min,miss_rate_max,mild_recall_mean,mild_recall_std,mild_recall_min,mild_recall_max,mean_delay_s_mean,mean_delay_s_std,mean_delay_s_min,mean_delay_s_max
EarlyCascadeHGB_50_75_100_150_balanced_tuned,30.0,0.913960927960928,0.0450320917752189,0.8,1.0,0.919686191763995,0.0417647153093439,0.8,1.0,0.9766104655578338,0.0346999172119172,0.8947368421052632,1.0,0.9465060190687506,0.0277237420682193,0.888888888888889,1.0,0.6922222222222223,0.1870692156480251,0.0,1.0,0.1333333333333333,0.2413245696001969,0.0,1.0,1.7666666666666666,1.0063019815944514,0.0,5.0,0.4666666666666667,0.6814453874610599,0.0,2.0,40.00333333333333,0.0182574185835057,40.0,40.1,63.55499999999999,26.97698460309941,40.1,140.0,current,Balanced HGB 4-window,,,,,,,,,,,,,,,,
EarlyCascadeHGB_50_75_100_150,30.0,0.903899063899064,0.0464863017733533,0.7692307692307693,1.0,0.9208302706700876,0.053475063643246,0.7916666666666666,1.0,0.9639926837295258,0.0500761197412939,0.8181818181818182,1.0,0.9398303760343514,0.0284477539721032,0.8636363636363636,1.0,0.6977777777777778,0.214589215222738,0.1666666666666666,1.0,0.2,0.2676705242990794,0.0,0.6666666666666666,1.7666666666666666,1.2780193008453875,0.0,5.0,0.7333333333333333,1.0482607379429238,0.0,4.0,44.18,9.4702583440711,40.0,65.0,66.12449999999998,30.860479842683738,40.0,140.0,,ResCompact HGB 4-window,0.3022222222222222,0.214589215222738,0.0,0.8333333333333334,0.0360073162704741,0.0500761197412939,0.0,0.1818181818181818,0.9639926837295258,0.0500761197412939,0.8181818181818182,1.0,47.29635569352675,8.616186069280078,39.95789473684211,66.65789473684211
EarlyCascadeET_50_75_100_150,30.0,0.9128242436575772,0.0622257481704892,0.7307692307692307,1.0,0.9530188589061586,0.0506688194889724,0.8095238095238095,1.0,0.9369127363864204,0.0682990453378636,0.7368421052631579,1.0,0.9427633267600896,0.0425816484655931,0.8292682926829268,1.0,0.8277777777777778,0.1883754572631636,0.3333333333333333,1.0,0.1277777777777778,0.2130032168075645,0.0,0.6666666666666666,1.0,1.1141720290623112,0.0,4.0,1.2666666666666666,1.3373502709187437,0.0,5.0,41.255,5.0352610109383455,40.0,65.0,78.44049999999999,42.03890751947575,40.0,140.58999999999995,,ResCompact ET 4-window,0.1722222222222222,0.1883754572631636,0.0,0.6666666666666666,0.0630872636135794,0.0682990453378636,0.0,0.2631578947368421,0.9369127363864204,0.0682990453378636,0.7368421052631579,1.0,47.37097593694576,8.673964957050003,39.98571428571429,69.2421052631579
ResCompact_HGB_ET_ValidationEnsemble,30.0,0.9180075295075294,0.0622357561365109,0.7307692307692307,1.0,0.9567337521999992,0.0473868104398223,0.8095238095238095,1.0,0.9388161059213692,0.0636335455075146,0.7894736842105263,1.0,0.9460966677889704,0.0419590291867571,0.8292682926829269,1.0,0.8444444444444444,0.1718355565445514,0.3333333333333333,1.0,0.1166666666666666,0.1915354373341634,0.0,0.6666666666666666,0.9,0.9948141396330236,0.0,4.0,1.2333333333333334,1.2507469032909713,0.0,4.0,42.50833333333333,7.625480011271347,40.0,65.0,69.81966666666663,31.739997608079925,40.095,140.0,,HGB+ET 4-window ensemble,,,,,,,,,,,,,,,,
EarlyCascadeHGB_50_75_100_150_250_400,30.0,0.9273773572106906,0.0427676431083588,0.8076923076923077,1.0,0.9345483343326928,0.0488122840829239,0.8,1.0,0.978261562998405,0.0368570334111014,0.8421052631578947,1.0,0.9545853105376084,0.0262836048020574,0.8888888888888888,1.0,0.7511111111111113,0.1978298609797686,0.1666666666666666,1.0,0.1722222222222222,0.2494566253244501,0.0,0.6666666666666666,1.4666666666666666,1.1957780134587124,0.0,5.0,0.4333333333333333,0.7279320417946061,0.0,3.0,43.34333333333334,8.639721153439814,40.0,65.0,129.57066666666665,76.536678380181,40.0,240.0,,ResCompact HGB 6-window,0.2488888888888888,0.1978298609797686,0.0,0.8333333333333334,0.0217384370015949,0.0368570334111013,0.0,0.1578947368421052,0.978261562998405,0.0368570334111014,0.8421052631578947,1.0,59.25322009569378,17.2029587352286,40.01052631578948,117.76666666666668
EarlyCascadeET_50_75_100_150_250_400,30.0,0.9242346357346356,0.0659682994395394,0.7307692307692307,1.0,0.9543667410796228,0.0466873187407829,0.8095238095238095,1.0,0.948770410875674,0.0566443884424301,0.7894736842105263,1.0,0.9507131434332377,0.0435858535211456,0.8292682926829268,1.0,0.8399999999999999,0.160793053737617,0.3333333333333333,1.0,0.0944444444444444,0.1619051643640962,0.0,0.5,0.9333333333333332,0.9444331755018488,0.0,4.0,1.0333333333333334,1.1290317283753195,0.0,4.0,40.83833333333333,4.563454592311831,40.0,65.0,82.94133333333329,50.650748487054464,40.095,240.0,,ResCompact ET 6-window,0.16,0.160793053737617,0.0,0.6666666666666666,0.0512295891243259,0.0566443884424301,0.0,0.2105263157894736,0.948770410875674,0.0566443884424301,0.7894736842105263,1.0,50.7410232689567,10.139927527592294,39.98823529411764,69.28947368421052
ResCompact_ExtHGB_ET_ValidationEnsemble_accuracy_only,30.0,0.9373781033781036,0.0578610395068073,0.7307692307692307,1.0,0.9563239125481688,0.0474196937374438,0.8095238095238095,1.0,0.965317840054682,0.0504610171112143,0.7894736842105263,1.0,0.9597060232665529,0.0377125656182496,0.8292682926829269,1.0,0.8388888888888889,0.1724476339713722,0.3333333333333333,1.0,0.1055555555555555,0.1665708536856716,0.0,0.5,0.9333333333333332,1.01483252680985,0.0,4.0,0.7,0.9878573120474012,0.0,4.0,42.09166666666667,6.633965414926188,40.0,65.0,100.5345,60.72077452753826,40.095,240.0,,HGB+ET 6-window ensemble,,,,,,,,,,,,,,,,
EarlyCascadeHGB_50_75_100_150_250_400,30.0,0.9183302129968796,0.0531498859674408,0.76,1.0,0.9390095990965556,0.0540669432718241,0.8333333333333334,1.0,0.9616108452950556,0.0617455609079243,0.7368421052631579,1.0,0.9477922344304516,0.035858202635218,0.8235294117647058,1.0,0.7688888888888888,0.2158354228511705,0.3333333333333333,1.0,0.1499999999999999,0.2330457998496994,0.0,0.6666666666666666,1.3666666666666667,1.2994251602637363,0.0,4.0,0.7666666666666667,1.19433528860584,0.0,5.0,45.005,10.168429421329122,40.0,65.0,144.2671666666666,91.73595932859035,40.0,390.0,,Global-shape HGB 6-window,0.2311111111111111,0.2158354228511704,0.0,0.6666666666666666,0.0383891547049441,0.0617455609079242,0.0,0.2631578947368421,0.9616108452950556,0.0617455609079243,0.7368421052631579,1.0,63.08744087491455,17.757990482317133,40.01052631578948,111.41428571428573
EarlyCascadeET_50_75_100_150_250_400,30.0,0.9145569122235788,0.0848203943454441,0.64,1.0,0.9656373612478067,0.0408017447183535,0.8636363636363636,1.0,0.9239450899977214,0.1014408971636325,0.5263157894736842,1.0,0.9408749607643692,0.0655091477329009,0.6896551724137931,1.0,0.8788888888888888,0.1502190822406426,0.4,1.0,0.0722222222222222,0.1496056971617188,0.0,0.5,0.7,0.8366600265340756,0.0,3.0,1.5333333333333334,1.995397001952819,0.0,9.0,43.330000000000005,8.635018918574406,40.0,65.0,108.07349999999988,69.07779486464567,40.095,240.0,,Global-shape ET 6-window,0.1211111111111111,0.1502190822406426,0.0,0.6,0.0760549100022784,0.1014408971636325,0.0,0.4736842105263157,0.9239450899977214,0.1014408971636325,0.5263157894736842,1.0,54.22492387143587,11.228525852274732,39.98,73.69444444444444
PrefixROCKET_Logistic,30.0,0.8950201465201464,0.0376379889745934,0.8076923076923077,0.9629629629629628,0.904248311820394,0.0453334053708981,0.8260869565217391,1.0,0.9715311004784688,0.0390439477951136,0.85,1.0,0.9352845264727454,0.0223360656791304,0.8837209302325583,0.9767441860465116,0.6233333333333333,0.1969401955239885,0.2,1.0,0.0944444444444444,0.1619051643640962,0.0,0.5,2.1666666666666665,1.11674815279973,0.0,4.0,0.5666666666666667,0.7738543627276671,0.0,3.0,48.428333333333335,16.77962990906109,40.0,92.95,139.6138333333333,110.2164447934259,40.0,390.0,,PrefixROCKET voltage shape,,,,,,,,,,,,,,,,
ResCompact_ExtHGB_ET_ROCKET_Ensemble,30.0,0.9164173110839776,0.0496821759182875,0.8,1.0,0.9308155323012638,0.0429085205866559,0.8260869565217391,1.0,0.9664194577352472,0.0472448714197045,0.8421052631578947,1.0,0.9471893050398524,0.031780573182928,0.8717948717948718,1.0,0.741111111111111,0.1710197795764738,0.3333333333333333,1.0,0.0555555555555555,0.1263496739298172,0.0,0.3333333333333333,1.5,0.9737945687202026,0.0,4.0,0.6666666666666666,0.922266074754828,0.0,3.0,42.495,7.596169066230597,40.0,65.0,126.81316666666665,99.25972230226614,40.0,390.0,,HGB+ET+ROCKET ensemble,,,,,,,,,,,,,,,,
ResCompact_HGB_ET_GlobalET_Ensemble_accuracy_only,30.0,0.942451634784968,0.0404434029559485,0.8461538461538461,1.0,0.9621808143547274,0.0404269312308569,0.9,1.0,0.965732513100934,0.0391054985823893,0.85,1.0,0.9630153121609072,0.0262167257004318,0.9,1.0,0.8622222222222221,0.1456214936488291,0.6,1.0,0.0833333333333333,0.1562859154124959,0.0,0.5,0.8,0.8469010445797932,0.0,2.0,0.7,0.7943767889097847,0.0,3.0,42.52,6.8847357398012425,40.0,65.0,107.8346666666666,61.4685432437255,40.0,240.0,,HGB+ET+GlobalET ensemble,,,,,,,,,,,,,,,,
ResCompact_HGB_ET_GlobalET_PhysicsGate_accuracy_only,30.0,0.942451634784968,0.0404434029559485,0.8461538461538461,1.0,0.9621808143547274,0.0404269312308569,0.9,1.0,0.965732513100934,0.0391054985823893,0.85,1.0,0.9630153121609072,0.0262167257004318,0.9,1.0,0.8622222222222221,0.1456214936488291,0.6,1.0,0.0833333333333333,0.1562859154124959,0.0,0.5,0.8,0.8469010445797932,0.0,2.0,0.7,0.7943767889097847,0.0,3.0,42.52,6.8847357398012425,40.0,65.0,107.8346666666666,61.4685432437255,40.0,240.0,,Validation physics gate,,,,,,,,,,,,,,,,
